Hour,Date,ImmobilizedBus,BrokenTruck,AccidentVictim,RunningOver,FireVehicles,Electricity,Fire,Flooding,Defect,Tree,Semaphore,IntermittentSemaphore,Slowness
7:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,4
7:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,6
8:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
8:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,9
9:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,11
9:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,10
10:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
10:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
11:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,7
11:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,6
12:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,5
12:30:00,12-14-2009,0,1,0,0,0,0,0,0,0,0,0,0,4
13:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,4
13:30:00,12-14-2009,2,2,1,0,0,0,0,0,0,0,0,0,4
14:00:00,12-14-2009,0,2,0,0,0,0,0,0,0,0,0,0,5
14:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,5
15:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,6
15:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,5
16:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,6
16:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
17:00:00,12-14-2009,0,1,0,0,0,0,0,0,0,0,0,0,9
17:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,9
18:00:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,9
18:30:00,12-14-2009,0,0,0,0,0,0,0,0,0,0,0,0,11
19:00:00,12-14-2009,0,1,0,0,0,0,0,0,0,1,0,0,11
19:30:00,12-14-2009,0,0,2,0,0,0,0,0,0,0,0,0,11
20:00:00,12-14-2009,1,1,0,1,0,0,0,0,0,0,0,0,7
7:00:00,12-15-2009,1,0,0,0,0,0,0,0,1,1,0,0,4
7:30:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,6
8:00:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
8:30:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,9
9:00:00,12-15-2009,0,1,1,0,0,0,0,0,0,0,0,0,10
9:30:00,12-15-2009,4,0,0,0,0,0,0,0,0,0,0,0,9
10:00:00,12-15-2009,0,1,0,0,0,0,0,0,0,0,1,0,7
10:30:00,12-15-2009,1,0,0,0,0,0,0,0,0,0,0,0,7
11:00:00,12-15-2009,0,0,2,0,0,0,0,0,1,0,0,0,8
11:30:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
12:00:00,12-15-2009,1,1,0,0,0,0,0,0,0,0,0,0,8
12:30:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,7
13:00:00,12-15-2009,0,1,1,0,0,0,0,0,0,0,0,0,8
13:30:00,12-15-2009,0,2,0,1,0,0,0,0,0,0,0,0,7
14:00:00,12-15-2009,1,0,0,0,0,1,0,0,0,0,0,0,8
14:30:00,12-15-2009,1,1,0,0,0,0,0,0,0,0,0,0,8
15:00:00,12-15-2009,0,1,3,0,0,0,0,0,0,0,0,0,8
15:30:00,12-15-2009,1,5,0,0,0,0,0,0,1,0,0,0,8
16:00:00,12-15-2009,0,4,2,0,0,0,0,0,0,0,0,0,9
16:30:00,12-15-2009,0,1,2,0,0,0,0,0,0,0,0,0,11
17:00:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,12
17:30:00,12-15-2009,1,0,0,0,0,0,0,0,0,0,0,0,13
18:00:00,12-15-2009,1,0,0,0,0,0,0,0,0,0,0,0,13
18:30:00,12-15-2009,0,3,1,1,0,0,0,0,0,0,0,0,15
19:00:00,12-15-2009,1,1,1,0,1,0,0,0,0,0,0,0,16
19:30:00,12-15-2009,1,4,1,0,0,0,0,0,0,0,0,0,15
20:00:00,12-15-2009,0,0,0,0,0,0,0,0,0,0,0,0,11
7:00:00,12-16-2009,0,0,0,0,0,0,0,0,0,0,0,0,3
7:30:00,12-16-2009,0,1,0,0,0,0,0,0,0,0,0,0,3
8:00:00,12-16-2009,0,1,1,0,0,0,0,0,0,0,0,0,5
8:30:00,12-16-2009,1,1,0,1,0,0,0,0,0,0,0,1,5
9:00:00,12-16-2009,1,1,0,0,0,0,0,0,0,1,0,0,7
9:30:00,12-16-2009,0,4,1,0,0,0,0,0,0,0,0,0,7
10:00:00,12-16-2009,0,2,0,0,0,0,0,0,0,0,1,0,6
10:30:00,12-16-2009,0,1,0,0,0,1,0,0,0,0,0,0,6
11:00:00,12-16-2009,0,2,2,0,0,0,0,0,0,0,0,0,6
11:30:00,12-16-2009,0,1,0,0,0,0,1,0,0,0,0,0,7
12:00:00,12-16-2009,0,1,0,0,0,0,0,0,0,0,0,0,8
12:30:00,12-16-2009,0,0,1,0,0,0,0,0,0,0,0,0,8
13:00:00,12-16-2009,0,1,2,0,0,0,0,0,0,0,0,0,8
13:30:00,12-16-2009,0,2,3,0,0,0,0,0,1,0,0,0,6
14:00:00,12-16-2009,0,1,1,0,0,0,0,0,0,0,0,0,6
14:30:00,12-16-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
15:00:00,12-16-2009,0,1,1,0,0,0,0,0,0,0,0,0,9
15:30:00,12-16-2009,2,4,1,0,0,0,0,0,1,0,0,0,10
16:00:00,12-16-2009,1,1,1,1,0,0,0,0,0,0,0,0,12
16:30:00,12-16-2009,0,2,1,1,0,1,0,1,0,0,0,0,13
17:00:00,12-16-2009,0,1,0,0,0,1,0,0,0,0,2,0,15
17:30:00,12-16-2009,0,0,0,0,0,0,0,0,0,0,1,0,17
18:00:00,12-16-2009,1,0,0,0,0,0,0,1,0,0,0,0,19
18:30:00,12-16-2009,0,1,0,0,0,2,0,3,0,0,1,0,20
19:00:00,12-16-2009,1,3,2,0,0,4,0,1,0,0,4,0,22
19:30:00,12-16-2009,1,0,0,0,0,3,0,0,0,0,0,0,23
20:00:00,12-16-2009,0,0,0,0,0,0,0,0,0,0,0,0,19
7:00:00,12-17-2009,0,0,0,0,0,0,0,0,3,0,0,0,4
7:30:00,12-17-2009,0,0,0,0,0,0,0,0,1,0,0,0,5
8:00:00,12-17-2009,0,0,0,0,0,0,0,0,0,0,0,1,5
8:30:00,12-17-2009,0,0,0,0,0,0,0,0,0,0,0,0,5
9:00:00,12-17-2009,0,0,0,0,0,0,0,0,0,0,0,0,8
9:30:00,12-17-2009,0,0,0,0,0,0,0,0,0,0,0,0,7
10:00:00,12-17-2009,0,0,0,1,0,0,0,0,0,0,0,0,7
10:30:00,12-17-2009,0,0,1,1,0,0,0,0,0,1,0,0,6
11:00:00,12-17-2009,1,1,0,0,0,0,0,0,0,0,0,0,7
11:30:00,12-17-2009,2,2,0,2,0,0,0,0,1,0,0,0,7
12:00:00,12-17-2009,0,1,1,0,0,0,0,0,0,0,0,0,7
12:30:00,12-17-2009,0,1,0,0,0,0,0,0,0,0,0,0,7
13:00:00,12-17-2009,2,2,1,0,0,0,0,0,0,0,0,0,10
13:30:00,12-17-2009,0,3,0,0,0,0,0,0,0,0,0,0,10
14:00:00,12-17-2009,1,2,0,0,0,0,0,0,0,0,1,0,11
14:30:00,12-17-2009,0,3,1,0,0,0,0,0,0,0,0,0,12
15:00:00,12-17-2009,0,1,1,0,0,1,0,0,0,0,0,0,12
15:30:00,12-17-2009,0,1,0,0,0,0,0,0,1,0,0,0,10
16:00:00,12-17-2009,0,1,0,0,0,0,0,0,0,1,0,0,9
16:30:00,12-17-2009,1,1,0,0,0,0,0,0,1,0,0,0,11
17:00:00,12-17-2009,1,1,0,0,0,0,0,0,0,0,0,0,12
17:30:00,12-17-2009,2,1,1,1,0,0,0,0,0,0,0,0,13
18:00:00,12-17-2009,1,1,0,0,0,0,0,0,0,0,0,0,15
18:30:00,12-17-2009,0,0,0,0,0,0,0,0,0,0,0,0,18
19:00:00,12-17-2009,0,1,0,0,0,0,0,0,0,0,0,0,19
19:30:00,12-17-2009,0,0,0,0,0,0,0,3,0,0,0,0,21
20:00:00,12-17-2009,0,3,1,0,0,1,0,7,2,0,1,0,22
7:00:00,12-18-2009,0,0,1,0,0,0,0,0,8,0,1,0,3
7:30:00,12-18-2009,0,0,0,0,0,0,0,0,1,0,0,0,5
8:00:00,12-18-2009,0,1,0,0,0,0,0,0,0,0,0,0,5
8:30:00,12-18-2009,1,1,1,1,0,0,0,0,1,0,0,0,6
9:00:00,12-18-2009,0,2,0,0,0,0,0,0,2,1,0,0,8
9:30:00,12-18-2009,2,2,1,0,0,0,0,0,1,0,0,0,9
10:00:00,12-18-2009,0,3,0,0,0,0,0,0,0,0,0,0,10
10:30:00,12-18-2009,0,2,1,1,0,0,0,0,0,0,0,0,10
11:00:00,12-18-2009,0,2,0,1,0,0,0,0,0,0,0,0,10
11:30:00,12-18-2009,0,1,0,0,0,0,0,0,0,0,0,0,12
12:00:00,12-18-2009,0,2,0,0,0,0,0,0,0,0,0,0,11
12:30:00,12-18-2009,2,0,0,0,0,0,0,0,0,0,0,0,10
13:00:00,12-18-2009,0,1,0,0,0,0,0,0,1,0,0,0,11
13:30:00,12-18-2009,0,1,0,0,0,0,0,0,1,0,0,0,9
14:00:00,12-18-2009,1,2,1,0,0,0,0,0,1,0,1,0,10
14:30:00,12-18-2009,0,0,1,0,0,1,0,0,0,0,0,0,10
15:00:00,12-18-2009,0,1,1,0,0,0,0,0,0,0,0,0,8
15:30:00,12-18-2009,2,0,1,1,0,0,0,0,0,0,0,0,9
16:00:00,12-18-2009,0,0,1,0,0,0,0,0,0,0,1,0,11
16:30:00,12-18-2009,0,0,2,0,0,0,0,0,0,0,0,0,13
17:00:00,12-18-2009,0,0,0,0,0,0,0,0,0,0,0,0,14
17:30:00,12-18-2009,0,1,1,0,0,0,0,0,0,0,1,0,17
18:00:00,12-18-2009,1,0,0,1,0,0,0,0,1,0,0,0,17
18:30:00,12-18-2009,0,0,2,0,0,0,0,0,0,0,0,0,18
19:00:00,12-18-2009,1,0,2,0,0,0,0,0,0,0,0,0,17
19:30:00,12-18-2009,0,4,0,0,0,0,0,0,0,0,1,0,17
20:00:00,12-18-2009,0,0,0,0,0,0,0,0,0,0,0,0,12
